,Unnamed: 0,line,time,Acceleration(X)[g],Acceleration(Y)[g],Acceleration(Z)[g],AngularRate(X)[dps],AngularRate(Y)[dps],AngularRate(Z)[dps],Temperature[degree],Pressure[hPa],MagnetCount,MagnetSwitch,onCrossroad,crossroadID
77200,77200,77200,42:56.0,-0.700705,-0.1689505,0.05420087,8.117924,4.699851,-13.55022,17.83,1017.585,0,0,0,0
77201,77201,77201,42:56.1,-0.8467056,-0.1376995,0.05615406,-4.272591,11.29185,3.295999,17.82,1017.577,0,0,0,0
77202,77202,77202,42:56.2,-0.9345989,-0.3657338,0.07910398,-11.35289,11.84118,14.28266,17.82,1017.577,0,0,0,0
77203,77203,77203,42:56.2,-1.279824,-0.3203223,-0.1264687,-1.892148,5.859554,29.35881,17.82,1017.604,0,0,0,0
77204,77204,77204,42:56.3,-1.064486,-0.4380017,-0.1499069,-1.770074,-12.87881,15.19822,17.82,1017.604,0,0,0,0
77205,77205,77205,42:56.4,-0.7324442,-0.1196326,0.02099673,14.95407,5.859554,0.6103702,17.83,1017.639,0,0,0,0
77206,77206,77206,42:56.5,-0.8266854,-0.1367229,-0.0761742,1.403851,-4.272591,-2.136296,17.83,1017.639,0,0,0,0
77207,77207,77207,42:56.6,-0.9126255,-0.1406293,-0.09277627,5.554368,-7.56859,-2.685629,17.83,1017.648,0,0,0,0
77208,77208,77208,42:56.6,-1.004913,-0.06103702,-0.0249031,11.16977,-1.098666,3.906369,17.83,1017.62,0,0,0,0
77209,77209,77209,42:56.7,-1.610889,-0.5019684,0.1626026,2.990814,11.29185,25.20829,17.83,1017.612,0,0,0,0
77210,77210,77210,42:56.8,-0.8379162,-0.1713919,0.08447523,6.286813,23.01096,10.31526,17.83,1017.612,0,0,0,0
77211,77211,77211,42:56.9,-0.9228798,-0.1850642,0.02832118,-16.60207,12.57363,1.464888,17.83,1017.612,0,0,0,0
77212,77212,77212,42:57.0,-0.7143773,-0.08252205,0.08056886,-11.84118,9.338664,1.22074,17.83,1017.612,0,0,0,0
77213,77213,77213,42:57.0,-0.8926054,-0.03466903,0.1386761,-10.31526,3.723258,-0.6714072,17.83,1017.612,0,0,0,0
77214,77214,77214,42:57.1,-0.835963,-0.09961241,0.07519761,-22.21747,1.464888,-2.25837,17.83,1017.612,0,0,0,0
77215,77215,77215,42:57.2,-0.8999298,-0.1440474,0.08447523,-19.59288,-0.2441481,8.667256,17.83,1017.612,0,0,0,0
77216,77216,77216,42:57.3,-1.485885,-0.3471786,-0.06982635,-4.516739,-1.159703,37.11051,17.82,1017.577,0,0,0,0
77217,77217,77217,42:57.4,-1.238319,-0.2309641,0.06494339,-9.277627,-11.23081,14.58785,17.83,1017.585,0,0,0,0
77218,77218,77218,42:57.4,-0.8213142,-0.1279336,0.04736473,-2.685629,3.173925,-8.911405,17.82,1017.604,0,0,0,0
77219,77219,77219,42:57.5,-0.7348857,-0.1777398,0.007324442,-1.342814,0.0,-11.29185,17.82,1017.631,0,0,0,0
77220,77220,77220,42:57.6,-0.9726859,-0.1259804,0.0258797,8.484145,-9.887997,-19.40977,17.82,1017.569,0,0,0,0
77221,77221,77221,42:57.7,-0.7588122,0.01953185,0.1655324,16.78518,-14.64888,-21.66814,17.82,1017.596,0,0,0,0
77222,77222,77222,42:57.8,-0.8872341,-0.09277627,-0.05615406,0.5493332,-1.648,13.36711,17.82,1017.631,0,0,0,0
77223,77223,77223,42:57.8,-1.315958,-0.3867306,0.1508835,-18.55525,7.56859,41.3831,17.82,1017.631,0,0,0,0
77224,77224,77224,42:57.9,-1.073763,-0.2036195,-0.07763909,10.5594,20.08118,0.4882962,17.82,1017.623,0,0,0,0
77225,77225,77225,42:58.0,-0.8320566,-0.08789331,0.04394665,-3.601184,-0.4272591,-14.832,17.82,1017.623,0,0,0,0
77226,77226,77226,42:58.1,-0.9048128,-0.0502945,0.04199347,-7.324442,4.211555,-11.536,17.82,1017.623,0,0,0,0
77227,77227,77227,42:58.2,-0.7949461,-0.2270577,0.08691671,-1.892148,12.81777,-4.638813,17.82,1017.596,0,0,0,0
77228,77228,77228,42:58.2,-1.361858,-0.232429,-0.1020539,9.277627,8.850368,22.5837,17.82,1017.604,0,0,0,0
77229,77229,77229,42:58.3,-1.128941,-0.2158269,0.05175939,13.06192,-6.103702,23.86547,17.82,1017.604,0,0,0,0
77230,77230,77230,42:58.4,-0.8926054,-0.1406293,0.06738487,15.44237,11.10874,-3.47911,17.82,1017.596,0,0,0,0
