,Unnamed: 0,line,time,Acceleration(X)[g],Acceleration(Y)[g],Acceleration(Z)[g],AngularRate(X)[dps],AngularRate(Y)[dps],AngularRate(Z)[dps],Temperature[degree],Pressure[hPa],MagnetCount,MagnetSwitch,onCrossroad,crossroadID
0,77451,77451,1:43:16.08,-0.8423108,-0.2446364,0.1474654,-19.10459,-5.188147,-9.765924,17.78,1017.669,0,0,0,0
1,77452,77452,1:43:16.16,-0.9541307,-0.2104556,0.0512711,-18.06696,6.34785,15.13718,17.78,1017.641,0,0,0,0
2,77453,77453,1:43:16.24,-1.527879,-0.5312661999999999,-0.1176794,2.624592,19.10459,37.84295,17.78,1017.641,0,0,0,0
3,77454,77454,1:43:16.32,-1.038606,-0.3071383,0.1357463,15.01511,11.10874,-12.02429,17.78,1017.649,0,0,0,0
4,77455,77455,1:43:16.40,-0.6465041,-0.1084017,0.2509842,6.408887,18.61629,-26.85629,17.78,1017.614,0,0,0,0
5,77456,77456,1:43:16.48,-0.7226783,-0.3603626,0.07324442,-18.06696,10.80355,-26.79525,17.77,1017.606,0,0,0,0
6,77457,77457,1:43:16.56,-0.8789331,-0.3203223,-0.01806696,-19.2877,-7.934813,-11.65807,17.77,1017.633,0,0,0,0
7,77458,77458,1:43:16.64,-0.8691671000000001,-0.2485427,0.07959227,-0.1831111,-6.2257760000000015,-3.295999,17.77,1017.606,0,0,0,0
8,77459,77459,1:43:16.72,-1.176794,-0.4013794000000001,0.1059603,11.536,3.418073,22.40059,17.77,1017.579,0,0,0,0
9,77460,77460,1:43:16.80,-0.8017823000000001,-0.5224769,0.1972716,3.295999,2.624592,26.24592,17.78,1017.614,0,0,0,0
10,77461,77461,1:43:16.88,-1.102573,-0.34962,0.2070376,23.7434,4.2115550000000015,15.01511,17.78,1017.641,0,0,0,0
11,77462,77462,1:43:16.96,-0.7505111999999999,-0.1562547999999999,0.1323282999999999,29.35881,-13.306070000000002,2.502518,17.78,1017.641,0,0,0,0
12,77463,77463,1:43:17.04,-0.7837153,-0.04297006,0.2153386,32.71584,-11.47496,-7.507553,17.78,1017.641,0,0,0,0
13,77464,77464,1:43:17.12,-0.9350871,-0.0507828,0.2895596,19.2877,-6.408887,-11.41392,17.78,1017.641,0,0,0,0
14,77465,77465,1:43:17.20,-1.604541,-0.6313669,0.1816462,4.516739,7.446517,24.2317,17.78,1017.669,0,0,0,0
15,77466,77466,1:43:17.28,-1.122105,-0.1992248,0.4331187,23.01096,6.286813,6.591997999999999,17.78,1017.641,0,0,0,0
16,77467,77467,1:43:17.36,-0.6294137,-0.1821345,0.3881955,14.16059,25.45244,-13.977479999999998,17.77,1017.661,0,0,0,0
17,77468,77468,1:43:17.44,-0.8052003000000001,-0.1699271,0.1713919,-30.823690000000006,0.9155553,1.1597030000000002,17.77,1017.633,0,0,0,0
18,77469,77469,1:43:17.52,-0.8774681999999999,-0.1958068,0.06201361,-31.067840000000004,-8.78933,2.685629,17.77,1017.633,0,0,0,0
19,77470,77470,1:43:17.60,-0.8208257999999999,-0.1577197,0.1118198,-17.45659,-10.43733,6.897183,17.77,1017.633,0,0,0,0
20,77471,77471,1:43:17.68,-1.132359,-0.2685629,0.1430708,-1.281777,-10.74252,17.09036,17.77,1017.633,0,0,0,0
21,77472,77472,1:43:17.76,-0.6953336999999999,-0.2739342,0.135258,-13.67229,-14.832,7.0192570000000005,17.77,1017.633,0,0,0,0
22,77473,77473,1:43:17.84,-1.178259,-0.3554796,0.02099673,-6.042665,-19.83703,-16.35792,17.77,1017.661,0,0,0,0
23,77474,77474,1:43:17.92,-0.5854670999999999,-0.1538133,0.05517747,15.32029,-20.20325,-26.00177,17.77,1017.661,0,0,0,0
24,77475,77475,1:43:18.00,-0.7368389,-0.1064486,0.1132847,21.05777,-18.61629,-16.78518,17.77,1017.653,0,0,0,0
25,77476,77476,1:43:18.08,-0.766625,-0.1572314,0.2080142,13.00089,-4.394665,-2.380444,17.77,1017.625,0,0,0,0
26,77477,77477,1:43:18.16,-1.262246,-0.2866299,0.05273598,2.25837,-1.098666,20.14222,17.77,1017.653,0,0,0,0
27,77478,77478,1:43:18.24,-1.210974,-0.354503,0.1376995,9.338664,-10.13214,34.36384,17.77,1017.653,0,0,0,0
28,77479,77479,1:43:18.32,-1.038606,-0.2417066,0.1831111,6.653035000000001,-10.5594,13.55022,17.77,1017.653,0,0,0,0
29,77480,77480,1:43:18.40,-0.8208257999999999,-0.1098666,0.006836146,-29.96918,-2.380444,0.2441481,17.77,1017.625,0,0,0,0
30,77481,77481,1:43:18.48,-0.7524644,-0.2260811,-0.05273598,-39.67406,-1.831111,-5.310221,17.77,1017.653,0,0,0,0
31,77482,77482,1:43:18.56,-0.9009064,-0.1250038,-0.1225623,-24.84207,-6.836146,-12.57363,17.77,1017.653,0,0,0,0
32,77483,77483,1:43:18.64,-0.9609668,-0.1733451,-0.05420087,-6.286813,-2.807703,-13.00089,17.77,1017.625,0,0,0,0
33,77484,77484,1:43:18.72,-1.922422,-0.6982635,0.2128971,-3.784295,13.977479999999998,17.09036,17.77,1017.653,0,0,0,0
34,77485,77485,1:43:18.80,-0.8911405000000001,-0.2666097,-0.07470931,-7.99585,-17.51762,-17.39555,17.77,1017.68,0,0,0,0
35,77486,77486,1:43:18.88,-0.7451399999999999,-0.1816462,-0.04248177,6.2257760000000015,-15.381329999999998,-4.882962,17.77,1017.68,0,0,0,0
36,77487,77487,1:43:18.96,-1.006867,-0.1303751,0.08594012,12.93985,-4.2115550000000015,3.357036,17.77,1017.707,0,0,0,0
37,77488,77488,1:43:19.04,-0.7519760999999999,-0.1357463,0.08154546,9.521775,9.704886,-4.150517,17.77,1017.68,0,0,0,0
38,77489,77489,1:43:19.12,-1.006867,-0.2544023,0.07373272,1.037629,9.765924,1.586962,17.77,1017.707,0,0,0,0
39,77490,77490,1:43:19.20,-1.494675,-0.4868313,-0.1762749,-5.066072,-6.286813,29.72503,17.77,1017.68,0,0,0,0
40,77491,77491,1:43:19.28,-0.8769799,-0.1840876,-0.03711051,2.319407,-19.65392,14.954070000000002,17.77,1017.653,0,0,0,0
41,77492,77492,1:43:19.36,-0.7602770999999999,-0.118656,0.105472,8.545182,7.99585,-0.7934812,17.77,1017.68,0,0,0,0
42,77493,77493,1:43:19.44,-0.822779,-0.1464888,-0.0888699,-24.41481,8.117924,3.784295,17.77,1017.653,0,0,0,0
43,77494,77494,1:43:19.52,-0.9512009,-0.1689505,-0.1674856,-27.64977,-3.47911,-3.295999,17.77,1017.653,0,0,0,0
44,77495,77495,1:43:19.60,-0.8237556,-0.1342814,-0.06152532,0.3662221,3.540147,-10.43733,17.77,1017.653,0,0,0,0
45,77496,77496,1:43:19.68,-1.1318709999999998,-0.04052858,0.07959227,17.029329999999998,9.277627,-2.25837,17.77,1017.653,0,0,0,0
46,77497,77497,1:43:19.76,-1.257363,-0.1875057,0.1958068,-5.7374800000000015,14.58785,22.88888,17.77,1017.625,0,0,0,0
47,77498,77498,1:43:19.84,-0.9751274,-0.5322428000000001,-0.01513718,-26.30696,20.69155,18.12799,17.76,1017.644,0,0,0,0
48,77499,77499,1:43:19.92,-1.063997,-0.2504959,0.1010773,-9.277627,14.09955,-10.98666,17.76,1017.644,0,0,0,0
49,77500,77500,1:43:20.00,-0.5908384,-0.07763909,0.04931791,5.920591,3.906369,-28.1991,17.76,1017.617,0,0,0,0
50,77501,77501,1:43:20.08,-0.8281503,-0.1811579,0.1650441,-1.892148,-2.624592,-31.43406,17.76,1017.617,0,0,0,0
51,77502,77502,1:43:20.16,-0.8706321,-0.1816462,0.1176794,-12.08533,5.371258,-30.15229,17.76,1017.637,0,0,0,0
52,77503,77503,1:43:20.24,-0.9360636999999998,-0.425306,0.07080294,-8.911405,4.150517,-13.184,17.76,1017.644,0,0,0,0
53,77504,77504,1:43:20.32,-1.089389,-0.3071383,0.09131138,6.164739,1.525926,17.1514,17.76,1017.644,0,0,0,0
54,77505,77505,1:43:20.40,-0.9448531,-0.2788171,0.1464888,-4.699851,-4.821925,5.005035,17.76,1017.617,0,0,0,0
55,77506,77506,1:43:20.48,-0.65627,-0.08349864,0.03027436,-26.97836,7.99585,6.34785,17.76,1017.617,0,0,0,0
56,77507,77507,1:43:20.56,-0.7661366,-0.1489303,-0.01513718,-35.52354000000001,-1.709037,3.784295,17.76,1017.617,0,0,0,0
57,77508,77508,1:43:20.64,-0.8115481999999999,-0.1674856,-0.06201361,-31.37303,-7.385478999999999,-4.9439980000000014,17.76,1017.644,0,0,0,0
58,77509,77509,1:43:20.72,-1.073275,-0.2006897,-0.07812738,-26.97836,-5.859554,1.281777,17.76,1017.644,0,0,0,0
59,77510,77510,1:43:20.80,-1.412153,-0.3618275,0.145024,-16.17481,12.81777,24.47585,17.76,1017.644,0,0,0,0
60,77511,77511,1:43:20.88,-1.090854,-0.455092,-0.09961241,-13.06192,22.15644,11.59703,17.76,1017.59,0,0,0,0
61,77512,77512,1:43:20.96,-0.9795221,-0.2822352,-0.001464888,-15.68651,-4.760888,5.859554,17.76,1017.617,0,0,0,0
62,77513,77513,1:43:21.04,-0.5478683000000001,-0.1303751,0.1474654,26.42903,2.25837,-11.0477,17.76,1017.617,0,0,0,0
63,77514,77514,1:43:21.12,-0.7143773,-0.07129124,0.1987365,19.65392,2.8687400000000003,-4.760888,17.76,1017.637,0,0,0,0
64,77515,77515,1:43:21.20,-0.7768792,-0.09668264,0.05468917,1.770074,-12.14637,0.122074,17.76,1017.617,0,0,0,0
65,77516,77516,1:43:21.28,-1.057649,-0.1538133,-0.05420087,8.78933,-8.728292999999999,2.685629,17.76,1017.617,0,0,0,0
66,77517,77517,1:43:21.36,-1.466842,-0.2656331,0.1254921,29.11466,-11.41392,20.75259,17.76,1017.644,0,0,0,0
67,77518,77518,1:43:21.44,-1.066439,-0.2202216,0.07031465,11.78014,-8.301035,13.06192,17.76,1017.644,0,0,0,0
68,77519,77519,1:43:21.52,-0.8867458,-0.1811579,0.0126957,-21.79022,2.563555,0.3051851,17.76,1017.609,0,0,0,0
69,77520,77520,1:43:21.60,-0.7251198,-0.113773,-0.01660207,-22.46162,0.2441481,-8.911405,17.76,1017.644,0,0,0,0
70,77521,77521,1:43:21.68,-0.8774681999999999,-0.09277627,-0.1069369,-19.83703,-11.84118,-13.977479999999998,17.76,1017.672,0,0,0,0
71,77522,77522,1:43:21.76,-0.9585254,-0.1035188,-0.07031465,-3.357036,-11.71911,-13.61126,17.76,1017.644,0,0,0,0
72,77523,77523,1:43:21.84,-1.168493,-0.1328166,0.05273598,7.99585,7.812738,-0.3662221,17.76,1017.637,0,0,0,0
73,77524,77524,1:43:21.92,-0.9995421999999998,-0.3706168,-0.03662221,-6.653035000000001,11.0477,2.8687400000000003,17.76,1017.637,0,0,0,0
74,77525,77525,1:43:22.00,-0.8310801,-0.1967833,-0.005371258,13.36711,-7.568589999999999,-12.93985,17.75,1017.656,0,0,0,0
75,77526,77526,1:43:22.08,-0.7436751,-0.07226783,0.1245155,28.32118,3.173925,-12.87881,17.76,1017.609,0,0,0,0
76,77527,77527,1:43:22.16,-0.967803,-0.1552782,0.1508835,21.91229,9.765924,-7.202367999999999,17.76,1017.609,0,0,0,0
77,77528,77528,1:43:22.24,-0.748558,-0.3315531,0.1948302,6.042665,15.74755,-2.197333,17.76,1017.609,0,0,0,0
78,77529,77529,1:43:22.32,-1.345256,-0.3291116,-0.003418073,1.831111,6.591997999999999,25.14725,17.76,1017.617,0,0,0,0
79,77530,77530,1:43:22.40,-0.9502243,-0.3276467,-0.03173925,-8.484145,-15.56444,22.88888,17.76,1017.617,0,0,0,0
80,77531,77531,1:43:22.48,-0.8740501,-0.2202216,0.03955199,-3.723258,0.1831111,4.333628,17.76,1017.617,0,0,0,0
81,77532,77532,1:43:22.56,-0.7300028000000001,-0.1416059,-0.02343822,-14.22163,-2.746666,1.648,17.76,1017.617,0,0,0,0
82,77533,77533,1:43:22.64,-0.8760033000000002,-0.1259804,-0.05957213,-7.141331,-8.484145,-8.484145,17.76,1017.617,0,0,0,0
83,77534,77534,1:43:22.72,-1.019562,-0.1347697,0.0009765923,1.586962,-14.89303,-10.68148,17.76,1017.582,0,0,0,0
84,77535,77535,1:43:22.80,-0.8799097,0.03125095,0.1118198,9.765924,0.9765923,0.06103702,17.76,1017.582,0,0,0,0
85,77536,77536,1:43:22.88,-1.563036,-0.3691519,0.1948302,-13.42814,12.93985,25.14725,17.76,1017.609,0,0,0,0
86,77537,77537,1:43:22.96,-0.7524644,-0.2705161,-0.07470931,-17.70074,20.02014,10.19318,17.76,1017.609,0,0,0,0
